County,Population,Area (sq mi)
Androscoggin County ,115272,497
Aroostook County ,66776,6829
Cumberland County ,313809,1217
Franklin County ,30902,1744
Hancock County ,56946,2351
Kennebec County ,128461,951
Knox County ,40981,1142
Lincoln County ,36491,700
Oxford County ,60039,2175
Penobscot County ,156840,3556
Piscataquis County ,17432,4377
Sagadahoc County ,37582,370
Somerset County ,51338,4095
Waldo County ,40617,853
Washington County ,31383,3255
York County ,220143,1271
