Library,County
Isaac F. Umberhine Public Library ,Sagadahoc
Laura E. Richards Library ,Sagadahoc
Patten Free Library ,Sagadahoc
Topsham Public Library,Sagadahoc
Bingham Union Library ,Somserset
Canaan Public Library ,Somserset
Coolidge Public Library ,Somserset
Hartland Public Library ,Somserset
Jackman Public Library ,Somserset
Lawrence Public Library ,Somserset
Madison Public Library ,Somserset
New Portland Community Library ,Somserset
Norridgewock Public Library ,Somserset
Pittsfield Public Library ,Somserset
Shaw Public Library - Mercer ,Somserset
Skowhegan Public Library ,Somserset
Stewart Public Library,Somserset
Alice L. Pendleton Library ,Waldo
Belfast Free Library ,Waldo
Carver Memorial Library ,Waldo
Liberty Library ,Waldo
Lincolnville Community Library ,Waldo
Monroe Community Library ,Waldo
Palermo Community Library ,Waldo
Searsmont Town Library ,Waldo
Stockton Springs Community Library ,Waldo
Unity Public Library ,Waldo
Waldo Peirce Reading Room & Library ,Waldo
Winterport Memorial Library,Waldo
Calais Free Library ,Washington
Cherryfield Public Library ,Washington
Danforth Public Library ,Washington
Florence Sturdivant Public Library ,Washington
Gallison Memorial Library ,Washington
Henry D. Moore Library ,Washington
Lincoln Memorial Public Library - Dennysville ,Washington
Louise Clements Memorial Library ,Washington
Lubec Memorial Library ,Washington
Mayhew Library Association ,Washington
Milbridge Public Library ,Washington
Peabody Memorial Library ,Washington
Peavey Memorial Library ,Washington
Pembroke Library Association ,Washington
Porter Memorial Library ,Washington
Princeton Public Library ,Washington
Whitneyville Public Library ,Washington
Woodland Public Library,Washington
Acton Public Library ,York
Berry Memorial Library ,York
Berwick Public Library ,York
Bonney Memorial Library ,York
Cape Porpoise Library ,York
Community Library ,York
D.A. Hurd Library ,York
Davis Memorial Library ,York
Dyer Library ,York
Hollis Center Public Library ,York
Kennebunk Free Library ,York
Kezar Falls Circulating Library ,York
Libby Memorial Library ,York
Limerick Public Library ,York
Louis B. Goodall Memorial Library ,York
Louis T. Graves Memorial Library ,York
Martha Sawyer Community Library ,York
McArthur Public Library ,York
Ogunquit Memorial Library ,York
Parsons Memorial Library ,York
Rice Public Library ,York
Salmon Falls Library ,York
Shapleigh Community Library ,York
South Berwick Public Library ,York
Springvale Public Library ,York
Waterboro Public Library ,York
Wells Public Library ,York
West Buxton Public Library ,York
William Fogg Library ,York
York Public Library,York
